iter,goals_per_match,xg_per_team,shots_per_team,box_presence_pct,corners_per_team,home_win_pct,reward_mean,pg_loss_final
1,2.68,1.32,3.2,22.0,1.0,41,0.808,0.0139
2,2.73,1.31,3.2,21.4,1.0,42,0.782,0.0101
3,2.61,1.31,3.2,21.4,1.0,41,0.788,0.0076
4,2.69,1.36,3.3,21.8,1.1,44,0.785,0.0047
5,2.63,1.39,3.4,22.1,1.0,38,0.795,0.0025
6,2.70,1.41,3.5,22.4,1.1,39,0.788,0.0012
7,2.82,1.43,3.5,22.5,1.1,45,0.794,0.0014
8,2.80,1.46,3.6,22.6,1.2,39,0.795,0.0006
9,2.86,1.41,3.5,22.1,1.0,43,0.792,-0.0003
10,2.66,1.36,3.4,22.1,1.0,41,0.790,-0.0006
11,2.99,1.42,3.5,22.2,1.0,40,0.802,-0.0004
12,2.81,1.42,3.5,22.1,1.1,38,0.808,-0.0010
13,2.77,1.45,3.6,22.0,1.1,45,0.804,-0.0013
14,2.79,1.47,3.6,22.5,1.1,42,0.814,-0.0008
15,2.86,1.41,3.5,22.2,1.0,43,0.801,-0.0012
16,2.89,1.47,3.6,22.2,1.0,43,0.797,-0.0013
17,2.92,1.51,3.7,22.4,1.1,42,0.808,-0.0009
18,2.79,1.38,3.4,22.0,1.0,41,0.803,-0.0013
19,2.89,1.49,3.7,22.5,1.1,42,0.815,-0.0013
20,2.85,1.46,3.6,22.7,1.0,38,0.818,-0.0011
21,2.79,1.44,3.6,22.4,1.0,42,0.799,-0.0010
22,2.92,1.44,3.6,22.4,1.0,42,0.829,-0.0013
23,2.87,1.48,3.7,22.7,1.2,42,0.812,-0.0007
24,2.89,1.45,3.6,22.6,1.0,37,0.825,-0.0009
25,2.94,1.46,3.6,22.4,1.0,41,0.820,-0.0014
26,2.96,1.48,3.7,22.5,1.1,40,0.826,-0.0014
27,2.82,1.38,3.4,22.6,0.9,44,0.818,-0.0007
28,2.89,1.53,3.8,23.0,1.1,37,0.838,-0.0013
29,2.94,1.49,3.7,22.9,1.1,36,0.833,-0.0005
30,3.02,1.55,3.9,23.1,1.1,40,0.832,-0.0015
